hjd mag mag_err
2455396.53765 16.133 0.008
2455396.61285 16.15 0.006
2455396.67515 16.142 0.006
2455396.70973 16.16 0.006
2455396.78232 16.145 0.006
2455397.58751 16.15 0.007
2455397.63734 16.144 0.008
2455397.67555 16.155 0.007
2455397.717 16.161 0.008
2455402.65216 16.151 0.008
2455402.68203 16.169 0.012
2455403.49505 16.145 0.006
2455403.53222 16.147 0.006
2455403.56974 16.155 0.006
2455403.61022 16.16 0.006
2455403.64957 16.147 0.006
2455403.68764 16.15 0.006
2455403.7286 16.154 0.006
2455403.76639 16.157 0.008
2455404.47031 16.136 0.007
2455404.50823 16.148 0.006
2455404.54601 16.148 0.006
2455404.58383 16.152 0.007
2455404.62701 16.159 0.006
2455404.66644 16.152 0.006
2455404.70536 16.157 0.006
2455404.74487 16.151 0.007
2455404.78865 16.131 0.007
2455405.64334 16.151 0.007
2455405.6832 16.145 0.007
2455405.72104 16.142 0.006
2455405.75862 16.149 0.007
2455405.7962 16.153 0.007
2455407.49781 16.146 0.007
2455407.53584 16.151 0.007
2455407.57414 16.158 0.007
2455407.61479 16.147 0.007
2455407.653 16.157 0.007
2455407.69202 16.143 0.007
2455407.73009 16.149 0.007
2455407.76805 16.148 0.007
2455408.53184 16.157 0.007
2455408.57918 16.148 0.006
2455408.61946 16.138 0.006
2455408.65723 16.157 0.007
2455408.69595 16.156 0.007
2455408.73387 16.157 0.007
2455408.77155 16.154 0.007
2455409.48178 16.153 0.006
2455409.52303 16.153 0.006
2455409.62889 16.156 0.005
2455409.73591 16.146 0.006
2455409.77367 16.146 0.007
2455410.48598 16.158 0.006
2455410.52412 16.151 0.006
2455410.63242 16.149 0.006
2455410.73959 16.156 0.006
2455410.77805 16.148 0.006
2455411.50058 16.164 0.006
2455411.56091 16.152 0.005
2455411.66913 16.156 0.005
2455411.75309 16.149 0.005
2455412.51319 16.167 0.006
2455412.55267 16.159 0.006
2455412.59289 16.153 0.007
2455412.6313 16.157 0.006
2455412.67457 16.151 0.006
2455412.7354 16.145 0.007
2455413.4943 16.133 0.006
2455413.55499 16.161 0.006
2455413.66204 16.149 0.005
2455413.74649 16.16 0.005
2455414.47471 16.145 0.006
2455414.51246 16.146 0.005
2455414.59768 16.145 0.005
2455414.70937 16.16 0.005
2455414.76956 16.15 0.005
2455416.63226 16.159 0.006
2455416.68738 16.154 0.006
2455418.54944 16.157 0.005
2455418.59953 16.156 0.005
2455418.64967 16.144 0.005
2455418.69907 16.157 0.006
2455421.50767 16.161 0.006
2455421.55129 16.152 0.006
2455421.56737 16.16 0.006
2455421.61211 16.143 0.006
2455421.65506 16.153 0.006
2455421.69747 16.151 0.006
2455422.49167 16.166 0.006
2455422.53238 16.148 0.006
2455422.63092 16.155 0.005
2455422.75872 16.165 0.006
2455423.51498 16.152 0.005
2455423.58661 16.149 0.005
2455423.69447 16.148 0.007
2455425.52333 16.16 0.006
2455426.49093 16.154 0.009
2455426.52943 16.128 0.009
2455426.64439 16.155 0.01
2455430.4767 16.161 0.008
2455430.51544 16.136 0.007
2455430.56154 16.147 0.007
2455430.63863 16.142 0.007
2455431.47762 16.163 0.007
2455431.51634 16.157 0.006
2455431.55664 16.162 0.006
2455431.59437 16.151 0.006
2455431.63586 16.146 0.007
2455431.67502 16.152 0.007
2455432.55851 16.139 0.008
2455432.653 16.147 0.008
2455433.63138 16.153 0.008
2455433.6769 16.15 0.007
2455434.50815 16.156 0.007
2455434.55286 16.161 0.006
2455434.59132 16.154 0.006
2455434.63849 16.151 0.006
2455434.68093 16.139 0.007
2455435.47983 16.155 0.007
2455435.51981 16.148 0.007
2455435.56496 16.141 0.006
2455435.63582 16.148 0.006
2455435.68405 16.146 0.006
2455436.47777 16.145 0.007
2455436.54484 16.156 0.006
2455436.66206 16.15 0.006
2455437.50096 16.153 0.006
2455437.62398 16.156 0.005
2455438.51288 16.15 0.007
2455438.57749 16.149 0.006
2455438.65302 16.151 0.006
2455438.69062 16.142 0.006
2455439.5226 16.144 0.007
2455439.56892 16.146 0.007
2455439.60641 16.161 0.007
2455439.64455 16.153 0.007
2455443.49813 16.135 0.006
2455443.53706 16.144 0.006
2455443.58293 16.154 0.006
2455443.62074 16.14 0.006
2455443.66311 16.156 0.006
2455444.50358 16.143 0.006
2455444.5551 16.15 0.006
2455444.60675 16.15 0.006
2455444.64485 16.146 0.006
2455445.4783 16.138 0.006
2455445.57616 16.147 0.006
2455445.65228 16.142 0.006
2455446.48272 16.162 0.006
2455446.53384 16.153 0.006
2455446.57431 16.15 0.006
2455446.61303 16.145 0.006
2455446.65285 16.144 0.006
2455447.50144 16.144 0.005
2455447.54403 16.148 0.006
2455447.60794 16.135 0.006
2455448.47524 16.146 0.008
2455448.52004 16.161 0.006
2455448.57414 16.146 0.006
2455449.4764 16.15 0.008
2455449.51475 16.145 0.007
2455449.54575 16.145 0.006
2455449.62936 16.156 0.006
2455450.51751 16.139 0.007
2455450.55503 16.132 0.007
2455450.6037 16.15 0.006
2455450.64359 16.134 0.007
2455451.63298 16.157 0.005
2455453.47772 16.141 0.01
2455453.54324 16.152 0.007
2455457.47659 16.142 0.007
2455457.55377 16.146 0.005
2455457.60102 16.158 0.006
2455458.4781 16.151 0.008
2455458.54245 16.155 0.008
2455458.58541 16.142 0.006
2455459.50391 16.142 0.007
2455459.54823 16.161 0.006
2455459.59243 16.156 0.006
2455460.4919 16.137 0.007
2455460.53789 16.148 0.008
2455460.57896 16.147 0.009
2455461.49866 16.151 0.008
2455461.53966 16.127 0.01
2455461.59065 16.128 0.007
2455462.4798 16.149 0.008
2455462.53323 16.139 0.007
2455463.50396 16.15 0.006
2455463.58358 16.137 0.006
2455463.58701 16.15 0.007
2455464.49419 16.147 0.006
2455464.54678 16.153 0.007
2455465.50992 16.155 0.008
2455467.48309 16.152 0.007
2455468.55264 16.148 0.007
2455469.60745 16.158 0.006
2455471.51736 16.146 0.006
2455471.58579 16.153 0.006
2455472.50441 16.163 0.007
2455472.54542 16.154 0.007
2455472.55147 16.156 0.006
2455473.50113 16.16 0.007
2455476.49234 16.141 0.007
2455476.52038 16.167 0.007
2455477.53934 16.155 0.007
2455479.50853 16.156 0.007
2455480.49041 16.142 0.007
2455480.55947 16.164 0.007
2455481.53015 16.162 0.011
2455485.5121 16.141 0.008
2455486.49854 16.145 0.008
2455486.55889 16.16 0.008
2455487.54489 16.15 0.007
2455488.53211 16.147 0.007
2455489.51848 16.148 0.007
2455490.51862 16.158 0.009
2455492.52825 16.14 0.009
2455494.52872 16.147 0.009
2455495.53092 16.143 0.007
2455497.53017 16.142 0.006
2455499.53247 16.154 0.008
2455596.86738 16.078 0.006
2455596.87362 16.057 0.006
2455597.88005 16.061 0.008
2455599.87564 16.054 0.005
2455600.86847 16.07 0.005
2455602.86893 16.067 0.006
2455604.87711 16.04 0.006
2455605.87524 16.046 0.005
2455606.87295 16.056 0.005
2455607.87764 16.05 0.005
2455608.87216 16.04 0.006
2455611.85656 16.046 0.007
2455612.8718 16.04 0.006
2455614.85723 16.025 0.006
2455615.86555 16.04 0.005
2455616.85861 16.039 0.006
2455619.87643 16.023 0.006
2455620.84666 16.016 0.005
2455621.84948 16.003 0.005
2455622.88718 16.016 0.004
2455624.84217 16.017 0.005
2455625.8213 16.004 0.005
2455626.81827 16.018 0.008
2455627.84554 15.997 0.005
2455628.85627 15.995 0.005
2455629.82446 15.984 0.005
2455630.80188 15.98 0.005
2455631.8296 15.977 0.006
2455632.83692 15.994 0.005
2455633.79417 15.975 0.005
2455634.84905 15.983 0.005
2455635.85804 15.974 0.006
2455637.81792 15.964 0.007
2455638.79635 15.964 0.006
2455639.78284 15.948 0.005
2455639.85857 15.957 0.005
2455640.75578 15.963 0.007
2455640.79862 15.958 0.006
2455640.83706 15.965 0.006
2455640.88564 15.95 0.005
2455641.75198 15.953 0.005
2455641.79254 15.946 0.005
2455641.87208 15.953 0.005
2455642.75832 15.954 0.005
2455642.79384 15.946 0.005
2455642.85284 15.96 0.005
2455642.87414 15.953 0.005
2455642.91621 15.947 0.007
2455643.76836 15.935 0.005
2455643.80665 15.948 0.005
2455643.86639 15.944 0.005
2455643.90762 15.942 0.005
2455644.77609 15.939 0.006
2455644.81681 15.933 0.006
2455644.88734 15.935 0.005
2455647.85726 15.933 0.006
2455647.87746 15.921 0.006
2455647.89342 15.941 0.006
2455648.75797 15.912 0.005
2455648.82338 15.922 0.005
